id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013166;07/05/2024;1;Vente;100000;18;;RUE D ANTRECHAUS;370;83000;83137;Toulon;83;;;83137000CK0067;;;1;;2;;3;;4;;5;;8;4;Local industriel. commercial ou assimilé;150;0;;;;;;5.934222;43.125833
2024-1013170;26/04/2024;1;Vente;187800;1;B;RUE DENIS LITARDI;2160;83000;83137;Toulon;83;;;83137000BX0089;;;21;56.07;63;;;;;;;;2;3;Dépendance;;0;;;;;;5.935142;43.10934
2024-1013170;26/04/2024;1;Vente;187800;1;B;RUE DENIS LITARDI;2160;83000;83137;Toulon;83;;;83137000BX0089;;;21;56.07;63;;;;;;;;2;2;Appartement;55;3;;;;;;5.935142;43.10934
2024-1013173;16/05/2024;1;Vente;115000;282;;AV SGT GABRIEL JOURDAN;6740;83100;83137;Toulon;83;;;83137000AW0244;;;378;;387;80.56;;;;;;;2;2;Appartement;78;5;;;;;;5.978928;43.131642
2024-1013173;16/05/2024;1;Vente;115000;282;;AV SGT GABRIEL JOURDAN;6740;83100;83137;Toulon;83;;;83137000AW0244;;;378;;387;80.56;;;;;;;2;3;Dépendance;;0;;;;;;5.978928;43.131642
2024-1013176;30/04/2024;1;Vente;159500;90;;RUE AMIRAL NOMY;248;83000;83137;Toulon;83;;;83137000BR0651;;;88;53.08;;;;;;;;;1;2;Appartement;53;3;;;;;;5.946903;43.118781
2024-1013176;30/04/2024;1;Vente;159500;90;;RUE AMIRAL NOMY;248;83000;83137;Toulon;83;;;83137000BR0651;;;171;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.946903;43.118781
2024-1013177;03/05/2024;1;Vente;169000;25;;AV BENOIT MALON;810;83100;83137;Toulon;83;;;83137000BE0358;;;83;57.7;;;;;;;;;1;2;Appartement;57;3;;;;;;5.95517;43.123873
2024-1013177;03/05/2024;1;Vente;169000;25;;AV BENOIT MALON;810;83100;83137;Toulon;83;;;83137000BE0358;;;122;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.95517;43.123873
2024-1013179;06/05/2024;1;Vente;418280;1290;;COR EMILE FABRE;X019;83200;83137;Toulon;83;;;83137000EW0305;;;;;;;;;;;;;0;1;Maison;98;4;S;sols;;;225;5.92077;43.14302
2024-1013179;06/05/2024;1;Vente;418280;1290;B;COR EMILE FABRE;X019;83200;83137;Toulon;83;;;83137000EW0347;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;17;5.92079;43.143074
2024-1013179;06/05/2024;1;Vente;418280;1290;C;COR EMILE FABRE;X019;83200;83137;Toulon;83;;;83137000EW0348;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;13;5.920812;43.143095
2024-1013182;26/04/2024;1;Vente;262000;522;;RUE DU DOCTEUR BARROIS;2220;83000;83137;Toulon;83;;;83137000AR0584;;;702;;710;;;;;;;;2;3;Dépendance;;0;;;;;;5.949794;43.130081
2024-1013182;26/04/2024;1;Vente;262000;522;;RUE DU DOCTEUR BARROIS;2220;83000;83137;Toulon;83;;;83137000AR0584;;;853;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.949794;43.130081
2024-1013182;26/04/2024;1;Vente;262000;522;;RUE DU DOCTEUR BARROIS;2220;83000;83137;Toulon;83;;;83137000AR0584;;;702;;710;;;;;;;;2;2;Appartement;69;3;;;;;;5.949794;43.130081
2024-1013183;24/04/2024;1;Vente;76000;479;;AV DE LA REPUBLIQUE;6175;83000;83137;Toulon;83;;;83137000CM0173;;;2;37;;;;;;;;;1;2;Appartement;40;3;;;;;;5.934316;43.119341
2024-1013185;25/04/2024;1;Vente;147900;401;B;AV ANDRE LE CHATELIER;305;83200;83137;Toulon;83;;;83137000DS0401;;;65;19.88;;;;;;;;;1;4;Local industriel. commercial ou assimilé;21;0;;;;;;5.900253;43.139312
2024-1013186;26/04/2024;1;Vente;210000;57;;AV EDOUARD LE BELLEGOU;2518;83000;83137;Toulon;83;;;83137000BZ0120;;;169;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.940171;43.119701
2024-1013186;26/04/2024;1;Vente;210000;57;;AV EDOUARD LE BELLEGOU;2518;83000;83137;Toulon;83;;;83137000BZ0124;;;202;;37;81;;;;;;;2;3;Dépendance;;0;;;;;;5.940248;43.119164
2024-1013186;26/04/2024;1;Vente;210000;57;;AV EDOUARD LE BELLEGOU;2518;83000;83137;Toulon;83;;;83137000BZ0124;;;202;;37;81;;;;;;;2;3;Dépendance;;0;;;;;;5.940248;43.119164
2024-1013186;26/04/2024;1;Vente;210000;57;;AV EDOUARD LE BELLEGOU;2518;83000;83137;Toulon;83;;;83137000BZ0124;;;202;;37;81;;;;;;;2;2;Appartement;81;4;;;;;;5.940248;43.119164
2024-1013187;13/05/2024;1;Vente;325000;1204;;CHE DE L HUBAC;7027;83200;83137;Toulon;83;;;83137000EV0378;;;;;;;;;;;;;0;3;Dépendance;;0;;;;;;5.930246;43.156349
2024-1013187;13/05/2024;1;Vente;325000;1204;;CHE DE L HUBAC;7027;83200;83137;Toulon;83;;;83137000EV0378;;;;;;;;;;;;;0;2;Appartement;65;3;;;;;;5.930246;43.156349
2024-1013187;13/05/2024;1;Vente;325000;1204;;CHE DE L HUBAC;7027;83200;83137;Toulon;83;;;83137000EV0378;;;;;;;;;;;;;0;2;Appartement;65;3;;;;;;5.930246;43.156349
2024-1013187;13/05/2024;1;Vente;325000;1204;;CHE DE L HUBAC;7027;83200;83137;Toulon;83;;;83137000EV0378;;;;;;;;;;;;;0;3;Dépendance;;0;;;;;;5.930246;43.156349
2024-1013188;02/05/2024;1;Vente;87000;987;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000AX0672;;;266;;274;55.85;;;;;;;2;2;Appartement;52;3;;;;;;5.966269;43.125475
2024-1013188;02/05/2024;1;Vente;87000;987;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000AX0672;;;266;;274;55.85;;;;;;;2;3;Dépendance;;0;;;;;;5.966269;43.125475
2024-1013190;21/05/2024;1;Vente;115000;30;;RUE DOCTEUR PERRIMOND;2340;83200;83137;Toulon;83;;;83137000CY0809;;;54;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.91814;43.130987
2024-1013190;21/05/2024;1;Vente;115000;30;;RUE DOCTEUR PERRIMOND;2340;83200;83137;Toulon;83;;;83137000CY0809;;;28;32;;;;;;;;;1;2;Appartement;32;2;;;;;;5.91814;43.130987
2024-1013192;03/05/2024;1;Vente;155000;677;;RUE DAVID;2105;83200;83137;Toulon;83;;;83137000DR0082;;;21;60.1;;;;;;;;;1;2;Appartement;56;3;;;;;;5.887545;43.138559
2024-1013200;15/05/2024;1;Vente;188000;476;;AV ARISTIDE BRIAND;405;83200;83137;Toulon;83;;;83137000CW0375;;;71;;96;101.6;;;;;;;2;2;Appartement;103;5;;;;;;5.900786;43.127748
2024-1013200;15/05/2024;1;Vente;188000;476;;AV ARISTIDE BRIAND;405;83200;83137;Toulon;83;;;83137000CW0375;;;71;;96;101.6;;;;;;;2;3;Dépendance;;0;;;;;;5.900786;43.127748
2024-1013200;15/05/2024;1;Vente;188000;476;;AV ARISTIDE BRIAND;405;83200;83137;Toulon;83;;;83137000CW0375;;;71;;96;101.6;;;;;;;2;3;Dépendance;;0;;;;;;5.900786;43.127748
